,station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday_holiday_rides,monthtotal,line
80,41040,Kedzie-Cermak,01/01/2001,444.9,0.3,0.0,9789,pink
81,40780,Central Park,01/01/2001,453.0,2.3,0.0,9974,pink
82,40150,Pulaski-Cermak,01/01/2001,459.3,2.3,0.0,10114,pink
83,40600,Kostner,01/01/2001,303.2,0.5,0.0,6673,pink
84,40420,Cicero-Cermak,01/01/2001,845.6,4.5,0.0,18621,pink
85,40580,54th/Cermak,01/01/2001,1547.3,4.0,0.0,34057,pink
86,40020,Harlem-Lake,01/01/2001,3269.7,1637.0,825.6,82609,green
87,41350,Oak Park-Lake,01/01/2001,1362.5,480.8,285.8,33326,green
88,40610,Ridgeland,01/01/2001,1247.2,369.3,184.2,29837,green
89,41260,Austin-Lake,01/01/2001,1972.5,927.8,513.2,49673,green
90,40280,Central-Lake,01/01/2001,2224.3,1295.5,786.0,58047,green
91,40700,Laramie,01/01/2001,1296.8,659.5,373.8,33036,green
92,40480,Cicero-Lake,01/01/2001,1291.3,712.8,463.2,33576,green
93,40030,Pulaski-Lake,01/01/2001,1509.8,884.3,561.0,39558,green
94,41070,Kedzie-Lake,01/01/2001,1168.9,626.0,404.0,30240,green
95,41360,California-Lake,01/01/2001,756.8,380.8,255.4,19449,green
96,40170,Ashland-Lake,01/01/2001,1408.4,538.5,330.2,34790,green
97,41160,Clinton-Lake,01/01/2001,1816.0,405.8,253.0,42841,green
98,41120,35-Bronzeville-IIT,01/01/2001,1743.8,912.5,576.0,44893,green
99,40300,Indiana,01/01/2001,568.8,317.5,224.8,14908,green
100,41270,43rd,01/01/2001,764.4,430.0,267.0,19871,green
101,41080,47th-South Elevated,01/01/2001,1242.1,789.3,468.4,32826,green
102,40130,51st,01/01/2001,1116.7,700.0,448.4,29609,green
103,40510,Garfield-South Elevated,01/01/2001,720.8,495.0,304.2,19359,green
104,41140,King Drive,01/01/2001,697.8,396.0,220.8,18039,green
105,40720,East 63rd-Cottage Grove,01/01/2001,1400.0,716.8,460.4,35969,green
106,40940,Halsted/63rd,01/01/2001,707.6,461.5,271.2,18770,green
107,40290,Ashland/63rd,01/01/2001,1774.4,927.3,648.6,45989,green
108,41290,Kimball,01/01/2001,4022.5,2128.8,1110.6,102564,brown
109,41180,Kedzie-Brown,01/01/2001,1444.7,902.8,554.8,38169,brown
110,40870,Francisco,01/01/2001,1085.5,459.0,235.4,26893,brown
111,41010,Rockwell,01/01/2001,1267.0,512.8,295.8,31403,brown
112,41480,Western-Brown,01/01/2001,3421.9,1631.5,902.8,86321,brown
113,40090,Damen-Brown,01/01/2001,2083.4,1030.5,536.2,52637,brown
114,41500,Montrose-Brown,01/01/2001,2016.1,910.8,489.6,50446,brown
115,41460,Irving Park-Brown,01/01/2001,2315.0,932.5,471.8,57018,brown
116,41440,Addison-Brown,01/01/2001,1794.9,637.8,291.0,43494,brown
117,41310,Paulina,01/01/2001,2030.4,943.3,495.4,50919,brown
118,40360,Southport,01/01/2001,2668.3,991.0,520.0,65267,brown
119,41210,Wellington,01/01/2001,2539.9,759.8,378.8,60810,brown
120,40530,Diversey,01/01/2001,4286.0,1883.5,867.2,106162,brown
